iter	Passed	Remaining
0	1	159
1	2	145
2	4	131
3	5	131
4	7	133
5	8	134
6	10	134
7	11	131
8	12	129
9	14	127
10	15	124
11	16	122
12	18	120
13	19	118
14	21	119
15	22	117
16	23	115
17	25	114
18	26	112
19	27	110
20	29	109
21	30	106
22	31	104
23	32	102
24	33	100
25	34	98
26	36	98
27	37	97
28	39	97
29	41	95
30	42	94
31	43	92
32	45	92
33	46	90
34	47	88
35	48	86
36	50	85
37	51	84
38	53	83
39	54	82
40	56	80
41	56	78
42	57	76
43	59	75
44	60	73
45	61	72
46	62	70
47	64	69
48	68	70
49	70	70
50	72	70
51	76	70
52	77	68
53	78	67
54	79	65
55	81	63
56	82	62
57	83	60
58	85	59
59	86	57
60	87	55
61	88	54
62	90	53
63	91	51
64	92	49
65	93	48
66	94	46
67	96	45
68	98	44
69	99	42
70	100	41
71	102	39
72	103	38
73	105	36
74	106	35
75	107	33
76	108	32
77	109	30
78	111	29
79	113	28
80	114	26
81	116	25
82	117	24
83	119	22
84	120	21
85	121	19
86	123	18
87	124	16
88	127	15
89	128	14
90	130	12
91	132	11
92	133	10
93	134	8
94	136	7
95	137	5
96	139	4
97	140	2
98	142	1
99	144	0
